"NOME_PROFISSIONAL";"OCUPACAO";"ESTABELECIMENTO_CNPJ"
"ALBANIR LAIER BORDIGNON";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES BAIRRO NOVO - CNPJ: 13792329000184"
"ALESSANDRA FERREIRA CARDOSO LOURES BUENO";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES BAIRRO NOVO - CNPJ: 13792329000184"
"ANASILVIA KURIQUI";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES BAIRRO NOVO - CNPJ: 13792329000184"
"ANDREA MONICA DVILEVICIUS";"MEDICO PSIQUIATRA";"CENTRO DE ESPECIALIDADES BAIRRO NOVO - CNPJ: 13792329000184"
"EDUARDO LUIS JANSSON";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES BAIRRO NOVO - CNPJ: 13792329000184"
"MARILIS DA COSTA ARIELLO";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES BAIRRO NOVO - CNPJ: 13792329000184"
"PAULO CESAR ZIMMERMANN FELCHNER";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES BAIRRO NOVO - CNPJ: 13792329000184"
"ADRIANA CHRISTINE BADUY ZANCHET";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ALCIR FRANCISCO DA SILVA";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ANA LUCIA BERTHOLDI PIACENTINI";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ANDERSON NITSCHE";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ANDREA PAULA CURCIO FADEL";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ARGOS VON LINSINGEN";"MEDICO UROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ARISTIDES SCHIER DA CRUZ";"MEDICO PEDIATRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"AZARIAS PORTO RIBEIRO";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"CAROLINA HOBI VOLACO FONSECA";"MEDICO DERMATOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"CLOVIS DOS SANTOS ANDRADE";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"CRISTIANE NOGUEIRA BINOTTO";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"DANILO HENRIQUE FERRO DA SILVA";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"EDERLEI MUNHOZ PINSUTI";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ELISABETE COELHO AUERSVALD";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"FRANKLIN ULISES CADENA ROMERO";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"GIOVANI CASSOL";"MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"HERALDO NEI HARDT LAROCA DOS SANTOS";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"HEVERTON WARMLING ARIAS";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"IVETE BERKENBROCK";"MEDICO CLINICO";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"JANAINA ALVES DE FRANCA HAIDER";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"JARISE GOUVEA SANTOS";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"JOAO RICARDO WOLLMANN";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"LUCI EDVIGES GRZYBOWSKI VENTURA";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"LUCIMARY DE CASTRO SYLVESTRE";"MEDICO NEFROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"MANUELA RODRIGUES COIMBRA";"MEDICO PEDIATRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"MARA LUCIA SCHMITZ FERREIRA SANTOS";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"MARCIA FERREIRA ALVES BARBERATO";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"MARIA ANTONIA DILAY OBA";"MEDICO PEDIATRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"MARLENE DE FATIMA NEVES";"MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"MARY JULIANNE MEDEIROS CAVALCANTI";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"MURILO DO VALLE SABOIA";"MEDICO MASTOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"MURILO DOS SANTOS AMBROSIO";"MEDICO CIRURGIAO GERAL";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"PEDRO FIGUEROA NETO";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"RENATO CESAR DA COSTA NEGRAO";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"RENATO PEDRO DE ALMEIDA TORRES";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"RILENE MARIA DE OLIVEIRA FIGUEIREDO";"MEDICO ENDOCRINOLOGISTA E METABOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ROBERTO PILATI";"MEDICO UROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ROBERVAL VITOR ALVES";"MEDICO CARDIOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"RODRIGO FUGA FIALHO";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ROSANA MARIA DE PAULA SABOIA";"MEDICO MASTOLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ROSILEI MARIA ANTONIEVICZ";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"SUELI MARIA TELES";"MEDICO NEUROLOGISTA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"TATIANA ZACHAROW WALLBACH";"MEDICO EM RADIOLOGIA E DIAGNOSTICO POR IMAGEM";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"WILMA BRUNETTI";"MEDICO GINECOLOGISTA E OBSTETRA";"CENTRO DE ESPECIALIDADES MAE CURITIBANA - CNPJ: 13792329000184"
"ADRIANO ABREU LIMA BUSS";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ALINE FAGAN PASIANI";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ALINE PAES VELLOZO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANA CLAUDIA BOSO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANA PAULA HIGA OGAWA";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANA PAULA SELLUCIO MARQUES";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANA PAULA TAVARES DA SILVA GUINANCIO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANA REGINA BURGOS DO NASCIMENTO";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANASILVIA KURIQUI";"MEDICO OFTALMOLOGISTA";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANDREA SAYURI YAMAGUCHI";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANGELA ALMEIDA MARQUES";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
"ANNA CAROLINA BRITTO DE ARAUJO DOS SANTOS";"MEDICO RESIDENTE";"CENTRO DE ESPECIALIDADES MEDICAS MATRIZ - CNPJ: 13792329000184"
